Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards,Code
Calen Bullock,21,HOU,S,17,13,5,96,0,68,11,0,0,1,0,0,0,54,37,17,0,0,0,,BullCa00
Oren Burks,29,PHI,LB,17,2,0,0,0,0,1,2,0,0,0,0,0,41,20,21,2,0,0,,BurkOr00
Amari Burney,24,LVR,LB,17,0,0,0,0,0,0,1,0,0,0,0,1,17,10,7,3,1,0,,BurnAm00
Artie Burns,29,SEA,CB,4,0,0,0,0,0,3,0,0,0,0,0,0,4,3,1,0,0,0,,BurnAr00
Brian Burns,26,NYG,OLB,17,17,0,0,0,0,8,2,0,0,0,0,8.5,71,42,29,17,18,0,,BurnBr00
Joe Burrow,28,CIN,QB,17,17,0,0,0,0,0,0,11,2,-3,0,0,0,0,0,0,0,0,PB,BurrJo01
Michael Burton,32,DEN,FB,17,2,0,0,0,0,0,0,0,0,0,0,0,6,2,4,0,0,0,,BurtMi00
Deon Bush,31,KAN,DB,2,0,0,0,0,0,0,0,0,1,0,0,0,3,2,1,0,0,0,,BushDe00
Devin Bush Jr.,26,CLE,LB,16,10,0,0,0,0,3,0,0,0,0,0,1,76,45,31,8,1,0,,BushDe01
Adam Butler,30,LVR,DT,17,16,0,0,0,0,2,1,0,0,0,0,5,65,36,29,8,10,0,,ButlAd00
Josh Butler,28,DAL,CB,5,3,0,0,0,0,5,0,0,0,0,0,1,21,17,4,0,0,0,,ButlJo00
Matthew Butler,25,LVR,DT,7,1,0,0,0,0,0,0,0,0,0,0,0,9,4,5,0,0,0,,ButlMa02
Percy Butler,24,WAS,S,17,5,0,0,0,0,1,0,0,0,0,0,0,47,29,18,2,1,0,,ButlPe00
Kevin Byard,31,CHI,DB,17,17,1,0,0,0,7,1,0,2,0,0,2,130,80,50,5,2,0,,ByarKe01
Camryn Bynum,26,MIN,S,17,17,3,3,0,3,10,0,0,2,0,0,0,96,54,42,2,0,0,,BynuCa00
Solomon Byrd,25,HOU,DE,1,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,1,0,,ByrdSo00
Grant Calcaterra,26,PHI,TE,17,13,0,0,0,0,0,0,0,1,2,0,0,2,0,2,0,0,0,,CalcGr00
Calais Campbell,38,MIA,DT,17,17,0,0,0,0,5,1,0,0,0,0,5,52,35,17,12,12,0,,CampCa99
De'Vondre Campbell,31,SFO,LB,13,12,0,0,0,0,2,0,0,0,0,0,0,79,44,35,3,1,0,,CampDe00
Elijah Campbell,29,MIA,DB,17,1,0,0,0,0,0,1,0,0,0,0,0,11,6,5,1,0,0,,CampEl00
Jack Campbell,24,DET,LB,17,17,0,0,0,0,5,1,0,0,0,0,1.5,131,69,62,5,5,0,,CampJa04
